Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5
1,1,"3, 4, 5, 4","3, 4, 5
3, 4, 5","[3]
4, 5
3, 4, 5","[4]
4, 5
3, 5","[5]
4
3, 5","[4]

3, 5"
2,1,"3, 5, 3, 4, 5","3, 4, 5
3, 4, 5","[3]
4, 5
3, 4, 5","[5]
4, 5
3, 4","[3]
4, 5
4","[4]
5
4","[5]

4"
3,1,"3, 5, 3, 5, 4","3, 4, 5
3, 4, 5","[3]
4, 5
3, 4, 5","[5]
4, 5
3, 4","[3]
4, 5
4","[5]
4
4","[4]

4"
4,1,"3, 5, 4, 5, 4","3, 4, 5
3, 4, 5","[3]
4, 5
3, 4, 5","[5]
4, 5
3, 4","[4]
4, 5
3","[5]
4
3","[4]

3"
5,1,"4, 5, 3, 5, 3","3, 4, 5
3, 4, 5","[4]
3, 5
3, 4, 5","[5]
3, 5
3, 4","[3]
3, 5
4","[5]
3
4","[3]

4"
6,1,"4, 5, 4, 5, 3","3, 4, 5
3, 4, 5","[4]
3, 5
3, 4, 5","[5]
3, 5
3, 4","[4]
3, 5
3","[5]
3
3","[3]

3"
7,1,"5, 3, 4, 3, 4","3, 4, 5
3, 4, 5","[5]
3, 4
3, 4, 5","[3]
4
3, 4, 5","[4]
4
3, 5","[3]
4
5","[4]

5"
8,2,"5, 3, 4, 5, 3","3, 4, 5
3, 4, 5","[5]
3, 4
3, 4, 5","[3]
4
3, 4, 5","[4]
4
3, 5","[5]
4
3","[3]
4
"
9,1,"5, 3, 5, 3, 4","3, 4, 5
3, 4, 5","[5]
3, 4
3, 4, 5","[3]
4
3, 4, 5","[5]
4
3, 4","[3]
4
4","[4]

4"
10,2,"5, 3, 5, 4, 3","3, 4, 5
3, 4, 5","[5]
3, 4
3, 4, 5","[3]
4
3, 4, 5","[5]
4
3, 4","[4]
4
3","[3]
4
"
11,2,"5, 4, 5, 3, 4","3, 4, 5
3, 4, 5","[5]
3, 4
3, 4, 5","[4]
3
3, 4, 5","[5]
3
3, 4","[3]
3
4","[4]
3
"
12,2,"5, 4, 5, 4, 3","3, 4, 5
3, 4, 5","[5]
3, 4
3, 4, 5","[4]
3
3, 4, 5","[5]
3
3, 4","[4]
3
3","[3]
3
"
