Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9
1,1,"3, 4, 5, 6, 7, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[6]
4, 6, 7
3, 5, 7","[7]
4, 6
3, 5, 7","[4]
6
3, 5, 7","[5]
6
3, 7","[6]

3, 7"
2,1,"3, 4, 5, 6, 7, 4, 7, 3, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[6]
4, 6, 7
3, 5, 7","[7]
4, 6
3, 5, 7","[4]
6
3, 5, 7","[7]
6
3, 5","[3]
6
5","[6]

5"
3,1,"3, 4, 5, 6, 7, 4, 7, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[6]
4, 6, 7
3, 5, 7","[7]
4, 6
3, 5, 7","[4]
6
3, 5, 7","[7]
6
3, 5","[5]
6
3","[6]

3"
4,1,"3, 4, 5, 6, 7, 6, 7, 3, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[6]
4, 6, 7
3, 5, 7","[7]
4, 6
3, 5, 7","[6]
4
3, 5, 7","[7]
4
3, 5","[3]
4
5","[4]

5"
5,2,"3, 4, 5, 6, 7, 6, 7, 5, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[6]
4, 6, 7
3, 5, 7","[7]
4, 6
3, 5, 7","[6]
4
3, 5, 7","[7]
4
3, 5","[5]
4
3","[3]
4
"
6,1,"3, 4, 5, 7, 3, 4, 5, 6, 7","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[7]
4, 6, 7
3, 5, 6","[3]
4, 6, 7
5, 6","[4]
6, 7
5, 6","[5]
6, 7
6","[6]
7
6","[7]

6"
7,1,"3, 4, 5, 7, 3, 4, 5, 7, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[7]
4, 6, 7
3, 5, 6","[3]
4, 6, 7
5, 6","[4]
6, 7
5, 6","[5]
6, 7
6","[7]
6
6","[6]

6"
8,1,"3, 4, 5, 7, 3, 4, 6, 7, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[7]
4, 6, 7
3, 5, 6","[3]
4, 6, 7
5, 6","[4]
6, 7
5, 6","[6]
6, 7
5","[7]
6
5","[6]

5"
9,1,"3, 4, 5, 7, 3, 6, 4, 5, 7","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[7]
4, 6, 7
3, 5, 6","[3]
4, 6, 7
5, 6","[6]
4, 7
5, 6","[4]
7
5, 6","[5]
7
6","[7]

6"
10,1,"3, 4, 5, 7, 3, 6, 4, 6, 7","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[4]
4, 5, 6, 7
3, 5, 6, 7","[5]
4, 6, 7
3, 5, 6, 7","[7]
4, 6, 7
3, 5, 6","[3]
4, 6, 7
5, 6","[6]
4, 7
5, 6","[4]
7
5, 6","[6]
7
5","[7]

5"
