Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9,Turn - 10,Turn - 11
1,2,"3, 4, 5, 6, 7, 8, 3, 4, 5, 6, 7","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 5, 7","6, 8 - 5, 7","6, 8 - 7",8 - 7,"8 - "
2,1,"3, 4, 5, 6, 7, 8, 3, 4, 5, 8, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 5, 7","6, 8 - 5, 7","6, 8 - 7",6 - 7," - 7"
3,1,"3, 4, 5, 6, 7, 8, 3, 4, 7, 8, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 5, 7","6, 8 - 5, 7","6, 8 - 5",6 - 5," - 5"
4,1,"3, 4, 5, 6, 7, 8, 3, 6, 7, 8, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 5, 7","4, 8 - 5, 7","4, 8 - 5",4 - 5," - 5"
5,1,"3, 4, 5, 6, 7, 8, 3, 8, 4, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 5, 7","4, 6 - 5, 7","6 - 5, 7",6 - 7," - 7"
6,2,"3, 4, 5, 6, 7, 8, 3, 8, 4, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 5, 7","4, 6 - 5, 7","6 - 5, 7",6 - 5,"6 - "
7,2,"3, 4, 5, 6, 7, 8, 3, 8, 6, 7, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 5, 7","4, 6 - 5, 7","4 - 5, 7",4 - 5,"4 - "
8,1,"3, 4, 5, 6, 7, 8, 5, 6, 7, 8, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 3, 7","4, 8 - 3, 7","4, 8 - 3",4 - 3," - 3"
9,2,"3, 4, 5, 6, 7, 8, 5, 8, 4, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 3, 7","4, 6 - 3, 7","6 - 3, 7",6 - 3,"6 - "
10,2,"3, 4, 5, 6, 7, 8, 5, 8, 6, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 6, 7, 8","4, 6, 7, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7, 8","4, 6, 8 - 3, 5, 7","4, 6, 8 - 3, 7","4, 6 - 3, 7","4 - 3, 7",4 - 3,"4 - "
